# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.305024 0.655756 -0.05 -3.39315 6.3036 178.121 2.22361 1000020040 772 1 0 1 0 0 1 
-0.501043 0.46074 -0.05 -3.97626 4.33565 178.176 2.22181 1000020040 1010 1 0 1 0 0 1 
-0.691905 0.129548 -0.05 -4.73204 -0.743161 178.484 2.22092 1000020040 1152 1 0 1 0 0 1 
-0.0583177 -0.30502 -0.05 1.74625 0.0111471 179.404 2.20922 1000020040 1328 1 0 1 0 0 1 
0.557848 0.000794482 -0.05 1.88787 0.131519 177.89 2.22571 1000020040 2477 1 0 1 0 0 1 
-0.230632 -0.613012 -0.05 0.147989 -5.76982 179.268 2.20864 1000020040 2619 1 0 1 0 0 1 
0.438455 -0.228469 -0.05 1.59737 -2.19562 177.946 2.22309 1000020040 3401 1 0 1 0 0 1 
-0.0832741 0.510354 -0.05 -3.10461 3.89047 178.017 2.22467 1000020040 3544 1 0 1 0 0 1 
0.284688 -0.0410334 -0.05 4.46617 2.25529 177.235 2.23287 1000020040 3871 1 0 1 0 0 1 
-0.380174 -0.214748 -0.05 0.668678 -1.29677 177.429 2.22836 1000020040 4174 1 0 1 0 0 1 
-0.434754 0.400932 -0.05 -3.97686 2.8234 177.518 2.22803 1000020040 4327 1 0 1 0 0 1 
-0.458781 -0.183018 -0.05 -5.01999 -3.32269 178.249 2.22306 1000020040 4926 1 0 1 0 0 1 
-0.446264 0.202278 -0.05 -2.45487 2.39584 179.766 2.20351 1000020040 5559 1 0 1 0 0 1 
0.4483 -0.624459 -0.05 3.7361 -5.50554 177.805 2.22698 1000020040 6584 1 0 1 0 0 1 
-0.188537 -0.605092 -0.05 -4.13224 -4.87168 177.127 2.23227 1000020040 7013 1 0 1 0 0 1 
-0.625107 -0.180061 -0.05 -4.6282 2.15317 177.11 2.23179 1000020040 7130 1 0 1 0 0 1 
-0.297744 0.265292 -0.05 -1.17058 4.50788 179.463 2.21384 1000020040 7193 1 0 1 0 0 1 
0.482843 -0.447557 -0.05 3.3182 -1.97939 179.129 2.20896 1000020040 8771 1 0 1 0 0 1 
-0.19534 0.155937 -0.05 -2.61504 -1.63594 177.878 2.22838 1000020040 9412 1 0 1 0 0 1 
0.548709 0.046263 -0.05 6.35279 -2.88862 178.327 2.21851 1000020040 9580 1 0 1 0 0 1 
-0.256526 0.47255 -0.05 -1.39045 5.72034 179.444 2.2077 1000020040 11813 1 0 1 0 0 1 
0.2657 -0.343784 -0.05 2.0644 -2.35405 178.728 2.21403 1000020040 12578 1 0 1 0 0 1 
0.354689 0.408734 -0.05 2.21355 -0.415567 177.273 2.2329 1000020040 13993 1 0 1 0 0 1 
0.207012 0.300469 -0.05 4.18003 4.54281 178.019 2.22399 1000020040 14032 1 0 1 0 0 1 
0.648405 0.383435 -0.05 3.79282 4.71897 178.954 2.21587 1000020040 14280 1 0 1 0 0 1 
0.344042 0.214779 -0.05 3.61848 1.30159 178.536 2.21461 1000020040 14428 1 0 1 0 0 1 
0.414322 -0.735225 -0.05 2.9523 -8.03966 179.137 2.21345 1000020040 14489 1 0 1 0 0 1 
0.223375 0.627294 -0.05 -0.349528 5.97899 178.448 2.21971 1000020040 15109 1 0 1 0 0 1 
0.506271 0.338922 -0.05 2.8739 5.04015 178.36 2.22149 1000020040 15525 1 0 1 0 0 1 
0.52347 0.112634 -0.05 2.01151 3.48255 179.556 2.20793 1000020040 15597 1 0 1 0 0 1 
