# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.0803548 -0.892409 -0.05 -0.785736 -5.77658 179.79 2.20489 1000020040 419 1 0 1 0 0 1 
0.093136 -0.109809 -0.05 -1.26881 -0.362002 179.004 2.21064 1000020040 534 1 0 1 0 0 1 
-0.886943 -1.11072 -0.05 -7.23203 -9.07961 176.977 2.23581 1000020040 557 1 0 1 0 0 1 
0.758002 0.929621 -0.05 6.34205 7.68581 177.906 2.22579 1000020040 559 1 0 1 0 0 1 
-1.19177 0.225374 -0.05 -10.9149 1.57611 178.305 2.22029 1000020040 577 1 0 1 0 0 1 
-0.152229 -0.941342 -0.05 -1.83235 -9.14553 179.132 2.20881 1000020040 701 1 0 1 0 0 1 
0.215397 0.692564 -0.05 1.44341 5.05989 177.817 2.22656 1000020040 991 1 0 1 0 0 1 
0.474825 -0.461202 -0.05 3.41428 -1.68135 178.448 2.22266 1000020040 1213 1 0 1 0 0 1 
0.304851 1.25223 -0.05 2.00204 11.3199 178.318 2.22221 1000020040 1256 1 0 1 0 0 1 
1.03534 1.37524 -0.05 8.10558 8.63925 128.488 2.85926 1000020040 1265 1 0 1 0 0 1 
-0.51651 -0.670037 -0.05 -5.29836 -1.98463 179.01 2.21355 1000020040 1329 1 0 1 0 0 1 
-0.145621 -0.45007 -0.05 -3.48163 -0.92228 177.541 2.2279 1000020040 1407 1 0 1 0 0 1 
0.0650584 -0.712165 -0.05 2.23381 -8.69913 178.374 2.21818 1000020040 1589 1 0 1 0 0 1 
0.338791 -0.0561763 -0.05 1.1975 0.646643 176.535 2.23646 1000020040 1722 1 0 1 0 0 1 
1.08911 -0.636964 -0.05 9.41935 -3.71489 177.466 2.23043 1000020040 1940 1 0 1 0 0 1 
0.238851 0.502457 -0.05 3.81008 3.1283 178.067 2.22287 1000020040 2615 1 0 1 0 0 1 
0.370847 -1.36463 -0.05 0.778623 -12.0594 177.099 2.23601 1000020040 2678 1 0 1 0 0 1 
0.0881816 -0.11092 -0.05 1.22001 0.746681 178.383 2.22115 1000020040 3025 1 0 1 0 0 1 
0.0145542 -0.600805 -0.05 -0.502741 -6.76475 177.089 2.23454 1000020040 3089 1 0 1 0 0 1 
0.0479845 -0.0976431 -0.05 -0.867386 -2.10636 179.091 2.21409 1000020040 3245 1 0 1 0 0 1 
0.118298 -0.796669 -0.05 1.05035 -4.81379 177.27 2.23627 1000020040 3431 1 0 1 0 0 1 
0.234388 0.0774606 -0.05 2.39615 -2.75715 178.34 2.2195 1000020040 3500 1 0 1 0 0 1 
-0.582601 -0.127751 -0.05 -5.17759 0.976897 176.843 2.23673 1000020040 4035 1 0 1 0 0 1 
-0.423562 -0.71037 -0.05 -5.23268 -5.59551 178.41 2.22107 1000020040 4542 1 0 1 0 0 1 
0.190889 0.320664 -0.05 -0.00713116 4.56037 177.309 2.23371 1000020040 4639 1 0 1 0 0 1 
0.846016 0.775422 -0.05 8.76214 5.07866 176.97 2.2366 1000020040 4737 1 0 1 0 0 1 
0.00448695 -0.775083 -0.05 1.75697 -7.9086 178.291 2.22083 1000020040 5431 1 0 1 0 0 1 
