# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.468096 -0.543848 -0.05 -0.528702 -2.1915 177.813 2.22634 1000020040 9 1 0 1 0 0 1 
-0.379794 0.472327 -0.05 0.458435 2.07049 177.78 2.22755 1000020040 104 1 0 1 0 0 1 
-0.112428 0.31744 -0.05 0.191129 -1.21855 178.961 2.214 1000020040 2235 1 0 1 0 0 1 
0.29108 -0.450552 -0.05 2.98363 -2.08813 176.58 2.24066 1000020040 2294 1 0 1 0 0 1 
-0.0104537 0.237046 -0.05 1.37853 0.204419 177.614 2.23316 1000020040 2880 1 0 1 0 0 1 
0.460835 -0.334347 -0.05 4.66705 -2.84623 177.457 2.23094 1000020040 3728 1 0 1 0 0 1 
0.143976 -0.55812 -0.05 4.93341 -4.80496 177.647 2.23083 1000020040 4038 1 0 1 0 0 1 
0.120341 -0.37696 -0.05 2.2708 -2.34611 177.877 2.22377 1000020040 4266 1 0 1 0 0 1 
-0.0511079 -0.0952131 -0.05 1.42649 -0.693389 178.022 2.22524 1000020040 4699 1 0 1 0 0 1 
-0.425511 0.294112 -0.05 2.12322 2.04604 176.503 2.23981 1000020040 4901 1 0 1 0 0 1 
-0.261266 0.539812 -0.05 -1.38461 0.689274 177.182 2.23413 1000020040 5090 1 0 1 0 0 1 
0.407701 -0.0378853 -0.05 6.69436 -1.06218 178.469 2.21844 1000020040 5102 1 0 1 0 0 1 
0.350922 -0.253412 -0.05 6.42485 0.459609 177.93 2.22445 1000020040 5909 1 0 1 0 0 1 
0.0542003 -0.378386 -0.05 1.19446 -4.4497 178.188 2.2234 1000020040 5925 1 0 1 0 0 1 
-0.0472831 0.443377 -0.05 -1.94503 1.57797 177.581 2.23125 1000020040 6233 1 0 1 0 0 1 
0.130186 -0.340162 -0.05 3.11714 -4.75617 178.722 2.21761 1000020040 7584 1 0 1 0 0 1 
0.290608 -0.456865 -0.05 5.33109 -5.35758 178.471 2.21906 1000020040 8316 1 0 1 0 0 1 
0.467058 0.167693 -0.05 3.88817 2.61041 177.753 2.2303 1000020040 9013 1 0 1 0 0 1 
-0.143794 0.368965 -0.05 -0.90737 2.60586 176.856 2.23434 1000020040 9023 1 0 1 0 0 1 
