# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.595799 -0.567055 -0.05 3.83068 -6.57015 178.728 2.22059 1000020040 3320 1 0 1 0 0 1 
-0.535904 0.351439 -0.05 4.02494 3.35339 177.192 2.23756 1000020040 5326 1 0 1 0 0 1 
-0.20101 0.26056 -0.05 6.25006 3.09082 177.097 2.2381 1000020040 13312 1 0 1 0 0 1 
-0.49977 -0.132258 -0.05 2.10287 -0.0781516 177.074 2.23449 1000020040 21102 1 0 1 0 0 1 
-0.391432 -0.321536 -0.05 5.70734 -4.66864 178.073 2.225 1000020040 24168 1 0 1 0 0 1 
-0.210495 -0.175433 -0.05 7.29781 -3.61441 178.979 2.21376 1000020040 30562 1 0 1 0 0 1 
-0.469056 -0.0872483 -0.05 1.85575 0.354982 178.164 2.22161 1000020040 33767 1 0 1 0 0 1 
-0.414837 -0.0850648 -0.05 6.74686 -1.04686 177.77 2.22504 1000020040 34426 1 0 1 0 0 1 
-0.421831 -0.511092 -0.05 5.57663 -5.38509 176.667 2.24013 1000020040 34630 1 0 1 0 0 1 
-0.589351 0.166915 -0.05 5.29192 -0.0252449 178.292 2.22372 1000020040 38862 1 0 1 0 0 1 
-0.311922 0.138107 -0.05 5.24761 0.371378 177.607 2.22925 1000020040 43059 1 0 1 0 0 1 
-0.342815 0.296182 -0.05 5.54999 1.88592 177.032 2.23339 1000020040 45272 1 0 1 0 0 1 
-0.403995 0.543722 -0.05 6.64879 3.35042 176.221 2.24612 1000020040 48073 1 0 1 0 0 1 
-0.476253 0.409468 -0.05 5.15177 0.961231 176.456 2.24315 1000020040 49762 1 0 1 0 0 1 
-0.632839 0.374519 -0.05 1.0563 1.0379 178.93 2.2169 1000020040 52623 1 0 1 0 0 1 
-0.223958 0.201952 -0.05 6.86256 1.10637 178.071 2.22272 1000020040 54370 1 0 1 0 0 1 
-0.0724472 -0.137439 -0.05 9.04981 -1.46858 179.614 2.20615 1000020040 54821 1 0 1 0 0 1 
-0.451048 0.0124581 -0.05 2.52092 3.09105 178.499 2.2165 1000020040 57791 1 0 1 0 0 1 
-0.344109 0.339713 -0.05 7.24559 3.99348 177.036 2.23673 1000020040 58710 1 0 1 0 0 1 
-0.203176 -0.422732 -0.05 7.94709 -4.40361 179.489 2.20526 1000020040 63525 1 0 1 0 0 1 
-0.473449 0.336097 -0.05 4.81137 5.21296 179.256 2.21519 1000020040 64488 1 0 1 0 0 1 
-0.443915 -0.0491327 -0.05 4.38484 -0.666457 177.425 2.23046 1000020040 65918 1 0 1 0 0 1 
-0.412274 0.289824 -0.05 2.87812 1.58902 178.387 2.22356 1000020040 66617 1 0 1 0 0 1 
-0.3667 0.304921 -0.05 3.52407 4.95985 177.228 2.23161 1000020040 69120 1 0 1 0 0 1 
-0.50566 0.248981 -0.05 4.96451 2.2217 176.969 2.23629 1000020040 69223 1 0 1 0 0 1 
-0.382966 -0.482028 -0.05 7.22955 -0.857616 178.825 2.21534 1000020040 72623 1 0 1 0 0 1 
