# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.350096 -0.157554 -0.05 3.59957 -0.240725 179.758 2.20801 1000020040 881 1 0 1 0 0 1 
-0.571755 -0.272557 -0.05 1.51212 -2.96239 177.912 2.22682 1000020040 3196 1 0 1 0 0 1 
-0.383035 -0.219892 -0.05 3.509 0.441797 178.907 2.21579 1000020040 4387 1 0 1 0 0 1 
-0.0495317 -0.0786687 -0.05 6.22481 2.92766 178.899 2.21493 1000020040 5652 1 0 1 0 0 1 
-0.322694 -0.26872 -0.05 4.3174 -3.62673 178.607 2.21862 1000020040 6260 1 0 1 0 0 1 
-0.293117 -0.585051 -0.05 5.84627 -5.72613 179.999 2.20174 1000020040 7076 1 0 1 0 0 1 
-0.291736 0.167873 -0.05 1.68612 3.5383 177.888 2.2246 1000020040 7150 1 0 1 0 0 1 
0.083542 0.00228676 -0.05 8.22257 1.0425 176.091 2.24523 1000020040 7278 1 0 1 0 0 1 
-0.393146 0.294175 -0.05 4.40821 1.20959 179.197 2.21311 1000020040 8082 1 0 1 0 0 1 
-0.299417 0.0922532 -0.05 2.55371 -0.00977698 178.395 2.21531 1000020040 10314 1 0 1 0 0 1 
0.00125767 -0.233082 -0.05 8.13799 -0.106544 176.191 2.24538 1000020040 12364 1 0 1 0 0 1 
-0.0579017 0.368032 -0.05 6.19726 4.28004 178.74 2.21513 1000020040 13595 1 0 1 0 0 1 
-0.107629 0.236742 -0.05 6.46041 2.09048 180.018 2.20732 1000020040 16263 1 0 1 0 0 1 
-0.484373 0.290108 -0.05 1.6727 1.79075 177.326 2.23578 1000020040 17605 1 0 1 0 0 1 
-0.648799 -0.279154 -0.05 -1.69577 -1.39763 177.74 2.22808 1000020040 18687 1 0 1 0 0 1 
-0.639232 0.489033 -0.05 -0.232054 2.70177 178.631 2.21783 1000020040 19242 1 0 1 0 0 1 
-0.346274 -0.19943 -0.05 1.73487 1.90037 177.674 2.22826 1000020040 24399 1 0 1 0 0 1 
-0.25914 0.578147 -0.05 6.23327 5.94612 177.066 2.23294 1000020040 24529 1 0 1 0 0 1 
-0.446583 -0.554793 -0.05 2.26327 -3.64759 178.648 2.21503 1000020040 24725 1 0 1 0 0 1 
-0.293969 0.0312364 -0.05 6.16521 0.960011 176.6 2.23918 1000020040 25764 1 0 1 0 0 1 
-0.609502 -0.409577 -0.05 0.0650092 0.135064 177.958 2.22697 1000020040 26864 1 0 1 0 0 1 
-0.367241 0.177217 -0.05 2.3087 0.614963 178.138 2.22683 1000020040 28161 1 0 1 0 0 1 
-0.260318 0.535599 -0.05 6.61653 4.16693 177.447 2.22911 1000020040 28757 1 0 1 0 0 1 
-0.319198 0.15112 -0.05 1.50773 1.0435 177.356 2.23224 1000020040 29587 1 0 1 0 0 1 
-0.242181 0.261339 -0.05 12.2242 0.107191 178.915 2.21209 1000020040 30772 1 0 1 0 0 1 
-0.377583 0.198403 -0.05 0.352106 1.88592 177.218 2.23108 1000020040 34124 1 0 1 0 0 1 
-0.018711 -0.45193 -0.05 7.2189 -4.63243 179.698 2.21139 1000020040 35746 1 0 1 0 0 1 
-0.553116 0.0133361 -0.05 0.0496753 3.25109 178.118 2.22016 1000020040 35850 1 0 1 0 0 1 
-0.558353 0.512624 -0.05 1.5117 2.3651 178.613 2.21744 1000020040 36988 1 0 1 0 0 1 
-0.626154 0.559842 -0.05 0.478163 2.29845 178.666 2.21961 1000020040 37222 1 0 1 0 0 1 
0.0315768 0.276842 -0.05 9.43561 3.9883 177.768 2.22453 1000020040 37423 1 0 1 0 0 1 
-0.589446 0.216249 -0.05 0.789788 -0.381139 178.026 2.22261 1000020040 38384 1 0 1 0 0 1 
-0.45473 -0.364922 -0.05 5.16769 -3.40601 177.601 2.22914 1000020040 38740 1 0 1 0 0 1 
-0.251174 0.211188 -0.05 5.10375 -1.65704 178.186 2.22152 1000020040 39312 1 0 1 0 0 1 
-0.582103 0.305822 -0.05 -1.36317 -0.587176 176.64 2.2418 1000020040 42803 1 0 1 0 0 1 
-0.39207 -0.337627 -0.05 1.93779 -2.61617 177.884 2.22908 1000020040 44384 1 0 1 0 0 1 
-0.456834 0.445152 -0.05 1.61035 1.62327 177.889 2.22647 1000020040 45483 1 0 1 0 0 1 
-0.0446551 0.458652 -0.05 8.77191 2.50752 176.653 2.23856 1000020040 45756 1 0 1 0 0 1 
-0.137527 -0.237663 -0.05 5.14533 -1.16305 178.579 2.21863 1000020040 50706 1 0 1 0 0 1 
-0.627415 -0.533308 -0.05 2.18537 -1.58885 177.38 2.2302 1000020040 52238 1 0 1 0 0 1 
-0.584553 -0.00619554 -0.05 2.73419 -3.15776 177.409 2.2313 1000020040 52768 1 0 1 0 0 1 
-0.51298 -0.52952 -0.05 2.496 -5.22756 176.446 2.24369 1000020040 53879 1 0 1 0 0 1 
-0.193539 0.262008 -0.05 4.61822 4.35293 178.361 2.2226 1000020040 53940 1 0 1 0 0 1 
-0.603234 0.157348 -0.05 0.719779 3.58258 177.962 2.22741 1000020040 55625 1 0 1 0 0 1 
-0.291715 0.135457 -0.05 2.63132 1.17529 178.151 2.22257 1000020040 56312 1 0 1 0 0 1 
