# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.0431454 0.174884 -0.05 1.62405 2.8048 175.96 2.24391 1000020040 1381 1 0 1 0 0 1 
-0.465506 -0.234441 -0.05 -2.57432 -2.88625 179.139 2.21667 1000020040 2247 1 0 1 0 0 1 
-0.386555 0.412727 -0.05 2.62954 4.14371 179.035 2.21419 1000020040 2497 1 0 1 0 0 1 
-0.24076 0.412277 -0.05 -1.6436 1.0783 178.263 2.22305 1000020040 2720 1 0 1 0 0 1 
-0.273948 0.625196 -0.05 -2.43562 4.84361 178.638 2.21442 1000020040 3480 1 0 1 0 0 1 
-0.583183 -0.0238828 -0.05 1.54873 -1.32925 177.534 2.22922 1000020040 3686 1 0 1 0 0 1 
0.276835 0.368354 -0.05 6.38594 3.76882 177.48 2.22885 1000020040 4103 1 0 1 0 0 1 
-0.477156 -0.414424 -0.05 -2.44869 -1.25254 178.555 2.22048 1000020040 4425 1 0 1 0 0 1 
-0.593366 -0.265641 -0.05 -2.12651 -2.08115 178.192 2.22043 1000020040 5029 1 0 1 0 0 1 
-0.292862 -0.647191 -0.05 3.02665 -4.25429 178.668 2.2186 1000020040 5139 1 0 1 0 0 1 
-0.466195 0.545184 -0.05 -2.28141 2.81614 180.045 2.20575 1000020040 6655 1 0 1 0 0 1 
-0.40585 -0.140807 -0.05 2.61676 -1.29225 177.139 2.23429 1000020040 8011 1 0 1 0 0 1 
-0.535629 -0.107056 -0.05 -0.749832 0.559606 179.394 2.20833 1000020040 9309 1 0 1 0 0 1 
0.194779 -0.197651 -0.05 5.22582 0.152644 178.079 2.22426 1000020040 10857 1 0 1 0 0 1 
-0.379185 -0.282928 -0.05 1.24361 -4.31197 177.251 2.23364 1000020040 12042 1 0 1 0 0 1 
-0.208847 -0.277554 -0.05 -0.23049 -2.83558 179.64 2.21294 1000020040 12888 1 0 1 0 0 1 
-0.00507092 -0.0623542 -0.05 1.65319 -1.54994 177.479 2.22974 1000020040 13559 1 0 1 0 0 1 
-0.182174 -0.585433 -0.05 0.596497 -3.18287 178.102 2.22236 1000020040 14111 1 0 1 0 0 1 
-0.287112 -0.212905 -0.05 1.37413 -2.50496 178.257 2.22198 1000020040 15775 1 0 1 0 0 1 
-0.400046 -0.284457 -0.05 0.825064 -3.96403 177.484 2.22871 1000020040 16319 1 0 1 0 0 1 
0.0482378 -0.538999 -0.05 2.24603 -4.06016 179.341 2.21553 1000020040 16523 1 0 1 0 0 1 
-0.291662 0.242506 -0.05 1.35718 -1.70788 177.325 2.22964 1000020040 16564 1 0 1 0 0 1 
0.254582 -0.43342 -0.05 5.72789 -3.17073 177.112 2.233 1000020040 16815 1 0 1 0 0 1 
0.109141 -0.505553 -0.05 6.31144 -3.68645 177.037 2.23571 1000020040 17664 1 0 1 0 0 1 
0.114954 0.11585 -0.05 2.98198 0.570911 179.545 2.20512 1000020040 18240 1 0 1 0 0 1 
0.0760471 0.405404 -0.05 6.12568 0.592856 178.468 2.21755 1000020040 18252 1 0 1 0 0 1 
0.0711187 0.2445 -0.05 4.44562 0.727729 177.098 2.23198 1000020040 18289 1 0 1 0 0 1 
-0.374249 -0.16209 -0.05 -0.0577334 -4.3796 178.033 2.22235 1000020040 18760 1 0 1 0 0 1 
-0.123032 0.261848 -0.05 3.06433 1.83558 177.078 2.2325 1000020040 18909 1 0 1 0 0 1 
0.107741 -0.492013 -0.05 4.4825 -3.78855 179.464 2.21371 1000020040 18959 1 0 1 0 0 1 
-0.391747 0.0155187 -0.05 -0.642793 1.87639 178.333 2.22065 1000020040 19297 1 0 1 0 0 1 
-0.317414 -0.54445 -0.05 2.92676 -3.0739 179.137 2.21101 1000020040 19854 1 0 1 0 0 1 
0.263505 0.344532 -0.05 6.92692 2.25362 178.493 2.21959 1000020040 19981 1 0 1 0 0 1 
0.101477 0.26603 -0.05 2.5298 0.0228792 178.228 2.22542 1000020040 20342 1 0 1 0 0 1 
0.266701 -0.141962 -0.05 4.39338 -4.44909 179.022 2.21425 1000020040 20500 1 0 1 0 0 1 
-0.36505 -0.19194 -0.05 -1.68463 -0.683546 179.052 2.21517 1000020040 20864 1 0 1 0 0 1 
-0.13958 -0.272202 -0.05 -2.91228 -0.990905 178.132 2.22407 1000020040 22122 1 0 1 0 0 1 
-0.285466 0.470875 -0.05 0.577579 0.631777 177.282 2.23101 1000020040 22315 1 0 1 0 0 1 
0.159348 -0.210769 -0.05 2.09151 -3.95384 178.936 2.21653 1000020040 22721 1 0 1 0 0 1 
-0.468265 0.469905 -0.05 -2.93171 3.22114 177.35 2.23153 1000020040 22844 1 0 1 0 0 1 
0.0688027 0.553742 -0.05 5.6883 4.00739 178.002 2.22527 1000020040 23088 1 0 1 0 0 1 
0.190018 0.424814 -0.05 5.74321 3.40037 177.647 2.22713 1000020040 23724 1 0 1 0 0 1 
-0.188054 -0.433843 -0.05 -0.405632 -3.30453 178.597 2.21537 1000020040 23929 1 0 1 0 0 1 
0.17792 0.0297609 -0.05 5.86526 -1.79052 178.03 2.22562 1000020040 24988 1 0 1 0 0 1 
0.419648 -0.1103 -0.05 7.60765 -0.403949 176.963 2.2349 1000020040 25500 1 0 1 0 0 1 
-0.395536 0.638376 -0.05 0.309617 8.20406 177.009 2.23823 1000020040 26813 1 0 1 0 0 1 
-0.614759 -0.473889 -0.05 -3.46324 -3.63192 177.535 2.22778 1000020040 27577 1 0 1 0 0 1 
-0.392521 0.428706 -0.05 1.88196 1.87336 179.379 2.21224 1000020040 28340 1 0 1 0 0 1 
-0.276451 -0.372924 -0.05 3.47431 -2.07513 177.909 2.22789 1000020040 28693 1 0 1 0 0 1 
-0.41304 -0.264941 -0.05 -3.57735 -0.0374535 176.399 2.24065 1000020040 29571 1 0 1 0 0 1 
-0.125111 0.56927 -0.05 -0.53941 5.63847 177.894 2.22735 1000020040 30589 1 0 1 0 0 1 
-0.345347 -0.125216 -0.05 -0.496243 1.54856 178.049 2.2264 1000020040 32162 1 0 1 0 0 1 
0.00321799 -0.423875 -0.05 2.25275 -1.32758 178.032 2.22322 1000020040 32418 1 0 1 0 0 1 
-0.304657 0.144165 -0.05 2.93254 2.50778 177.94 2.22402 1000020040 32661 1 0 1 0 0 1 
0.137157 0.212002 -0.05 5.03777 1.13036 177.259 2.23399 1000020040 32693 1 0 1 0 0 1 
-0.143346 0.164239 -0.05 -0.22401 0.559884 178.213 2.2204 1000020040 33001 1 0 1 0 0 1 
-0.185376 -0.455582 -0.05 3.43019 -1.52098 177.733 2.22923 1000020040 33230 1 0 1 0 0 1 
-0.415883 -0.0069223 -0.05 1.20874 0.48551 178.239 2.22546 1000020040 33273 1 0 1 0 0 1 
0.18397 -0.567185 -0.05 4.10042 -5.42525 178.534 2.21963 1000020040 33936 1 0 1 0 0 1 
0.162138 0.29237 -0.05 3.77306 4.28116 178.57 2.2204 1000020040 34275 1 0 1 0 0 1 
-0.605856 0.342261 -0.05 -0.732261 -0.85046 178.631 2.21772 1000020040 34860 1 0 1 0 0 1 
-0.127931 0.593565 -0.05 1.99342 4.31256 177.15 2.23527 1000020040 36676 1 0 1 0 0 1 
0.37633 -0.192986 -0.05 7.0603 -0.131444 176.876 2.24303 1000020040 36816 1 0 1 0 0 1 
-0.643281 -0.319612 -0.05 -2.72118 -4.49048 176.92 2.23687 1000020040 37249 1 0 1 0 0 1 
-0.000212777 -0.132147 -0.05 0.178297 -0.283804 177.86 2.22977 1000020040 39062 1 0 1 0 0 1 
-0.468145 0.243816 -0.05 0.28152 4.31036 177.474 2.2262 1000020040 40521 1 0 1 0 0 1 
0.361788 -0.0461767 -0.05 5.98119 0.383922 177.783 2.2276 1000020040 40655 1 0 1 0 0 1 
-0.517678 -0.435806 -0.05 2.71934 -3.26146 178.917 2.21552 1000020040 41349 1 0 1 0 0 1 
-0.499297 -0.126659 -0.05 0.458025 -0.434069 178.296 2.22232 1000020040 41699 1 0 1 0 0 1 
-0.184042 -0.410713 -0.05 -0.755895 -4.23808 177.849 2.22743 1000020040 41915 1 0 1 0 0 1 
-0.0592711 0.105248 -0.05 2.25749 -1.76556 177.311 2.23198 1000020040 43442 1 0 1 0 0 1 
0.190388 0.427055 -0.05 5.81875 4.69786 176.579 2.23812 1000020040 43630 1 0 1 0 0 1 
-0.318662 -0.269636 -0.05 2.12201 -2.1226 178.899 2.21521 1000020040 44137 1 0 1 0 0 1 
0.339603 -0.0500585 -0.05 7.7575 -0.712685 177.612 2.22868 1000020040 44388 1 0 1 0 0 1 
0.00393875 -0.607265 -0.05 3.96799 -4.01939 177.022 2.23818 1000020040 46835 1 0 1 0 0 1 
-0.332956 0.569633 -0.05 -0.235999 3.32543 178.621 2.21618 1000020040 46870 1 0 1 0 0 1 
0.361375 0.168531 -0.05 7.09139 -0.0947317 178.537 2.21817 1000020040 48780 1 0 1 0 0 1 
-0.47401 0.182313 -0.05 2.68064 1.33479 179.44 2.2059 1000020040 49329 1 0 1 0 0 1 
0.017611 -0.592266 -0.05 1.95019 -5.97064 178.245 2.22135 1000020040 49387 1 0 1 0 0 1 
0.0674293 -0.0420094 -0.05 2.02625 -0.453289 177.87 2.22681 1000020040 50661 1 0 1 0 0 1 
0.190498 0.0164505 -0.05 6.7187 1.97286 178.036 2.22304 1000020040 50956 1 0 1 0 0 1 
0.168953 0.385492 -0.05 5.42291 5.39858 178.72 2.21839 1000020040 52203 1 0 1 0 0 1 
-0.192521 0.179225 -0.05 1.97166 -0.667813 178.977 2.21502 1000020040 52845 1 0 1 0 0 1 
-0.330589 0.469384 -0.05 -1.83804 3.12668 178.445 2.22036 1000020040 53887 1 0 1 0 0 1 
-0.542988 -0.155549 -0.05 -0.848129 -4.00777 178.044 2.22001 1000020040 54383 1 0 1 0 0 1 
0.179776 -0.147856 -0.05 5.73278 -0.552226 177.665 2.23287 1000020040 54623 1 0 1 0 0 1 
-0.599619 -0.0252361 -0.05 -2.55551 0.352546 178.662 2.21866 1000020040 54655 1 0 1 0 0 1 
-0.0880468 -0.280272 -0.05 0.518426 0.45895 176.748 2.23631 1000020040 55380 1 0 1 0 0 1 
0.0437995 -0.417386 -0.05 2.45545 -2.80514 179.388 2.2097 1000020040 55943 1 0 1 0 0 1 
-0.203035 0.106943 -0.05 -0.883374 -1.55002 177.355 2.22728 1000020040 56233 1 0 1 0 0 1 
0.253427 0.212902 -0.05 3.68404 3.96794 178.081 2.22109 1000020040 56344 1 0 1 0 0 1 
-0.141647 -0.378638 -0.05 3.88939 -1.8727 178.201 2.2189 1000020040 56438 1 0 1 0 0 1 
-0.514324 -0.0377524 -0.05 -3.65542 1.00845 178.158 2.2239 1000020040 58084 1 0 1 0 0 1 
0.0760675 0.514386 -0.05 3.6745 5.58472 175.941 2.24435 1000020040 59245 1 0 1 0 0 1 
-0.386575 0.273553 -0.05 -0.00694734 0.358307 177.809 2.22309 1000020040 60386 1 0 1 0 0 1 
0.0165745 0.302413 -0.05 1.84638 0.863677 178.019 2.22397 1000020040 61276 1 0 1 0 0 1 
0.177093 0.166756 -0.05 5.9992 -1.18984 176.639 2.2431 1000020040 61941 1 0 1 0 0 1 
-0.244394 0.182838 -0.05 2.35215 2.20217 176.31 2.24287 1000020040 62057 1 0 1 0 0 1 
-0.517683 0.611865 -0.05 -1.29169 4.55155 177.837 2.22481 1000020040 62127 1 0 1 0 0 1 
0.233952 0.0657032 -0.05 3.04113 2.26248 178.172 2.22237 1000020040 62713 1 0 1 0 0 1 
-0.597512 0.110067 -0.05 -3.35962 1.45325 177.93 2.22705 1000020040 64400 1 0 1 0 0 1 
-0.187438 -0.100946 -0.05 2.18965 0.491383 177.93 2.22563 1000020040 65734 1 0 1 0 0 1 
-0.583258 -0.419484 -0.05 -0.152521 -5.80546 178.703 2.21823 1000020040 65735 1 0 1 0 0 1 
0.13726 -0.366763 -0.05 3.12724 -2.38499 178.572 2.21785 1000020040 66264 1 0 1 0 0 1 
-0.0801968 0.287786 -0.05 1.26965 0.518779 176.408 2.24331 1000020040 66584 1 0 1 0 0 1 
-0.614701 0.167546 -0.05 -0.72596 -1.68114 177.887 2.22737 1000020040 67512 1 0 1 0 0 1 
-0.473109 -0.417774 -0.05 0.887467 -0.024168 177.62 2.22782 1000020040 67754 1 0 1 0 0 1 
0.227324 0.156964 -0.05 5.78404 -0.644065 178.003 2.22676 1000020040 67839 1 0 1 0 0 1 
0.11726 -0.4386 -0.05 4.17292 -1.83828 177.999 2.22742 1000020040 68319 1 0 1 0 0 1 
-0.287161 0.462137 -0.05 -2.68097 1.54207 178.067 2.22337 1000020040 69124 1 0 1 0 0 1 
-0.532473 0.0128313 -0.05 -2.13423 0.530842 178.339 2.21712 1000020040 70039 1 0 1 0 0 1 
-0.132043 -0.466558 -0.05 0.220195 -3.74108 177.885 2.22475 1000020040 70535 1 0 1 0 0 1 
0.0788467 -0.522743 -0.05 4.88242 -2.41228 179.567 2.20759 1000020040 71320 1 0 1 0 0 1 
0.157256 -0.436111 -0.05 5.44554 -1.40309 176.574 2.23912 1000020040 71878 1 0 1 0 0 1 
-0.14931 0.0756471 -0.05 1.85405 1.6411 179.455 2.20971 1000020040 72901 1 0 1 0 0 1 
-0.487035 -0.639569 -0.05 -1.835 -3.68055 179.159 2.20935 1000020040 73896 1 0 1 0 0 1 
-0.111809 -0.576765 -0.05 -0.440532 -5.19655 178.667 2.21464 1000020040 74139 1 0 1 0 0 1 
-0.0550524 -0.527057 -0.05 1.11901 -2.56481 178.162 2.22167 1000020040 74326 1 0 1 0 0 1 
-0.123492 0.645177 -0.05 0.864885 4.17563 178.719 2.2173 1000020040 74383 1 0 1 0 0 1 
-0.459597 0.515642 -0.05 2.36304 2.46008 178.708 2.21927 1000020040 75229 1 0 1 0 0 1 
-0.639675 -0.299104 -0.05 -4.09745 -3.5509 177.157 2.23073 1000020040 75267 1 0 1 0 0 1 
-0.307397 -0.380733 -0.05 3.24056 -3.43284 178.915 2.21131 1000020040 75330 1 0 1 0 0 1 
0.314717 -0.104629 -0.05 3.91533 -3.60243 179.039 2.21433 1000020040 76489 1 0 1 0 0 1 
0.0625942 0.0273888 -0.05 1.87788 -0.814833 178.915 2.20733 1000020040 77091 1 0 1 0 0 1 
0.0151605 0.428313 -0.05 4.67699 0.204499 178.301 2.22278 1000020040 78870 1 0 1 0 0 1 
0.270729 0.346754 -0.05 7.49206 2.5541 179.362 2.20917 1000020040 78880 1 0 1 0 0 1 
-0.254083 0.179182 -0.05 2.00795 4.4274 177.052 2.23715 1000020040 79491 1 0 1 0 0 1 
-0.52325 0.0998938 -0.05 5.3683 5.54915 179.409 2.20786 1000020040 80620 1 0 1 0 0 1 
-0.507066 0.268997 -0.05 -1.75915 3.85793 178.256 2.21962 1000020040 81126 1 0 1 0 0 1 
-0.639981 -0.617861 -0.05 -3.30792 -4.98335 178.342 2.22336 1000020040 82037 1 0 1 0 0 1 
-0.299346 0.190847 -0.05 0.191384 -0.646458 177.886 2.22531 1000020040 82951 1 0 1 0 0 1 
-0.0146557 0.439631 -0.05 4.59632 3.26468 176.976 2.23366 1000020040 83428 1 0 1 0 0 1 
0.0988588 0.252342 -0.05 2.63624 4.15374 178.664 2.21676 1000020040 84455 1 0 1 0 0 1 
0.133115 0.179967 -0.05 4.06069 1.18681 176.718 2.24141 1000020040 84514 1 0 1 0 0 1 
-0.225905 -0.538186 -0.05 5.23347 -4.83428 178.268 2.22041 1000020040 84688 1 0 1 0 0 1 
0.405118 0.240021 -0.05 8.5174 1.72652 179.154 2.21478 1000020040 85651 1 0 1 0 0 1 
