# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
0.183235 0.285628 -0.05 7.16937 4.25403 177.571 2.22666 1000020040 1296 1 0 1 0 0 1 
-0.307482 0.367506 -0.05 2.2532 1.2931 178.175 2.22276 1000020040 2098 1 0 1 0 0 1 
-0.00792096 -0.173224 -0.05 5.97709 -2.83989 179.004 2.21493 1000020040 3086 1 0 1 0 0 1 
-0.287853 0.213772 -0.05 -1.50749 1.30229 177.69 2.22434 1000020040 4939 1 0 1 0 0 1 
-0.293103 0.437222 -0.05 3.73003 0.630324 177.363 2.23471 1000020040 5048 1 0 1 0 0 1 
-0.00758816 0.368668 -0.05 5.40287 3.63592 178.142 2.21879 1000020040 6212 1 0 1 0 0 1 
-0.391451 -0.580976 -0.05 -0.282525 -6.26805 178.006 2.22465 1000020040 7523 1 0 1 0 0 1 
0.28971 -0.0853052 -0.05 8.2419 -2.43957 177.975 2.22673 1000020040 7882 1 0 1 0 0 1 
-0.0961928 -0.165418 -0.05 1.59115 1.48097 178.506 2.21828 1000020040 8684 1 0 1 0 0 1 
-0.39732 0.179706 -0.05 3.35286 3.25144 178.405 2.21874 1000020040 9496 1 0 1 0 0 1 
-0.288075 0.0873934 -0.05 0.3975 -0.888717 178.839 2.21621 1000020040 10458 1 0 1 0 0 1 
-0.645927 0.0939586 -0.05 -0.114773 2.26315 179.303 2.21128 1000020040 13235 1 0 1 0 0 1 
-0.249233 0.457663 -0.05 2.88527 6.75152 178.348 2.21929 1000020040 13350 1 0 1 0 0 1 
-0.622762 -0.289766 -0.05 -0.768606 -0.496419 178.032 2.22707 1000020040 14905 1 0 1 0 0 1 
-0.199485 -0.0485852 -0.05 5.19628 -2.4413 177.555 2.22802 1000020040 16378 1 0 1 0 0 1 
-0.40753 -0.365389 -0.05 4.02757 -0.670426 178.083 2.22229 1000020040 16469 1 0 1 0 0 1 
0.132757 0.335812 -0.05 4.52699 6.08256 177.435 2.23132 1000020040 16544 1 0 1 0 0 1 
0.268792 -0.0658234 -0.05 7.18993 0.697006 177.395 2.2302 1000020040 18606 1 0 1 0 0 1 
-0.416803 0.325482 -0.05 3.57425 1.31111 178.01 2.22205 1000020040 19111 1 0 1 0 0 1 
-0.30441 0.648884 -0.05 0.862461 5.67769 178.751 2.21768 1000020040 19450 1 0 1 0 0 1 
-0.303519 0.071098 -0.05 1.41936 1.19524 178.627 2.21778 1000020040 19663 1 0 1 0 0 1 
