# Detor
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-0.0294611 0.0931437 -0.05 -0.0911732 0.569065 177.474 2.22998 1000020040 509 1 0 1 0 0 1 
-0.48753 -0.257602 -0.05 -3.62865 -3.57618 176.569 2.24244 1000020040 966 1 0 1 0 0 1 
-0.63954 -0.126924 -0.05 -4.76141 1.0869 178.191 2.2221 1000020040 1424 1 0 1 0 0 1 
-0.275581 -0.286718 -0.05 -0.750507 3.63008 177.84 2.22463 1000020040 2022 1 0 1 0 0 1 
-0.311429 -0.464075 -0.05 -2.45448 -1.17492 177.473 2.23304 1000020040 2519 1 0 1 0 0 1 
-0.613976 0.449094 -0.05 -5.18904 3.53658 180.057 2.20337 1000020040 3072 1 0 1 0 0 1 
0.50183 0.0268689 -0.05 4.28278 -1.77656 177.771 2.22987 1000020040 3120 1 0 1 0 0 1 
-0.0681406 -0.10998 -0.05 1.5812 -1.83293 178.822 2.21605 1000020040 4401 1 0 1 0 0 1 
-0.361232 0.576431 -0.05 -2.2812 5.83543 177.077 2.23508 1000020040 5394 1 0 1 0 0 1 
-0.238331 0.501652 -0.05 -4.14471 0.760147 177.885 2.22719 1000020040 5662 1 0 1 0 0 1 
-0.299154 -0.317889 -0.05 -3.79136 -0.962604 177.808 2.22599 1000020040 5818 1 0 1 0 0 1 
0.0470164 -0.547483 -0.05 1.55058 -6.87362 177.379 2.23474 1000020040 5992 1 0 1 0 0 1 
0.122077 -0.217744 -0.05 2.50148 1.24773 176.926 2.23961 1000020040 6015 1 0 1 0 0 1 
0.331171 -0.0941344 -0.05 -1.33151 -2.11407 176.674 2.2356 1000020040 7293 1 0 1 0 0 1 
-0.110524 -0.082054 -0.05 1.34934 -1.88604 178.486 2.21755 1000020040 7427 1 0 1 0 0 1 
-0.043256 -0.292588 -0.05 -3.19166 -0.137632 177.477 2.23392 1000020040 7526 1 0 1 0 0 1 
-0.306042 0.375784 -0.05 0.166206 2.0412 178.581 2.21923 1000020040 7694 1 0 1 0 0 1 
0.0891073 0.251034 -0.05 3.26997 -0.128957 177.649 2.23022 1000020040 7787 1 0 1 0 0 1 
-0.180343 0.524094 -0.05 -0.805099 5.43869 178.207 2.22134 1000020040 7804 1 0 1 0 0 1 
0.0714081 0.425787 -0.05 0.229418 1.44952 177.918 2.22785 1000020040 8309 1 0 1 0 0 1 
-0.0533967 -0.489947 -0.05 0.195015 -0.403296 178.358 2.22288 1000020040 8359 1 0 1 0 0 1 
-0.209429 0.587202 -0.05 -3.03468 5.51074 178.791 2.219 1000020040 8454 1 0 1 0 0 1 
0.237623 0.0666217 -0.05 0.911072 3.31299 178.621 2.21669 1000020040 8588 1 0 1 0 0 1 
-0.621523 0.022485 -0.05 -3.91872 1.51142 179.26 2.21249 1000020040 9073 1 0 1 0 0 1 
-0.444536 0.0414588 -0.05 0.0253451 -0.257705 178.617 2.21602 1000020040 9222 1 0 1 0 0 1 
0.112962 0.618045 -0.05 0.325244 4.9928 178.508 2.22255 1000020040 9259 1 0 1 0 0 1 
0.0187764 -0.552452 -0.05 0.530238 -3.06112 178.334 2.22524 1000020040 9978 1 0 1 0 0 1 
0.5676 0.473545 -0.05 6.49446 3.67621 178.708 2.21584 1000020040 10063 1 0 1 0 0 1 
-0.233175 0.184141 -0.05 -3.22673 -0.679504 178.909 2.21512 1000020040 10716 1 0 1 0 0 1 
0.0873913 -0.209994 -0.05 0.910317 -0.74776 177.437 2.22856 1000020040 11345 1 0 1 0 0 1 
0.050412 -0.134196 -0.05 -0.933899 -2.61763 178.226 2.22216 1000020040 11697 1 0 1 0 0 1 
